840,Oliva,Medium,2002,0-4,70,0,70
840,Oliva,Medium,2002,5-9,200,200,400
840,Oliva,Medium,2002,10-14,320,320,640
840,Oliva,Medium,2002,15-19,460,400,860
840,Oliva,Medium,2002,20-24,280,430,710
840,Oliva,Medium,2002,25-29,340,280,620
840,Oliva,Medium,2002,30-34,400,150,550
840,Oliva,Medium,2002,35-39,200,200,400
840,Oliva,Medium,2002,40-44,530,540,1070
840,Oliva,Medium,2002,45-49,400,470,870
840,Oliva,Medium,2002,50-54,470,270,740
840,Oliva,Medium,2002,55-59,400,80,480
840,Oliva,Medium,2002,60-64,140,130,270
840,Oliva,Medium,2002,65-69,340,80,420
840,Oliva,Medium,2002,70-74,150,240,390
840,Oliva,Medium,2002,75-79,150,140,290
840,Oliva,Medium,2002,80-84,70,200,270
840,Oliva,Medium,2002,>84,470,310,780
840,Oliva,Medium,2003,0-4,190,200,390
840,Oliva,Medium,2003,5-9,270,220,490
840,Oliva,Medium,2003,10-14,260,240,500
840,Oliva,Medium,2003,15-19,300,240,540
840,Oliva,Medium,2003,20-24,400,320,720
840,Oliva,Medium,2003,25-29,430,370,800
840,Oliva,Medium,2003,30-34,400,390,790
840,Oliva,Medium,2003,35-39,420,400,820
840,Oliva,Medium,2003,40-44,370,330,700
840,Oliva,Medium,2003,45-49,310,270,580
840,Oliva,Medium,2003,50-54,240,260,500
840,Oliva,Medium,2003,55-59,240,230,470
840,Oliva,Medium,2003,60-64,210,220,430
840,Oliva,Medium,2003,65-69,260,300,560
840,Oliva,Medium,2003,70-74,260,290,550
840,Oliva,Medium,2003,75-79,170,210,380
840,Oliva,Medium,2003,80-84,80,140,220
840,Oliva,Medium,2003,>84,70,140,210
840,Oliva,Medium,2004,0-4,250,230,480
840,Oliva,Medium,2004,5-9,220,200,420
840,Oliva,Medium,2004,10-14,260,230,490
840,Oliva,Medium,2004,15-19,280,230,510
840,Oliva,Medium,2004,20-24,370,320,690
840,Oliva,Medium,2004,25-29,420,370,790
840,Oliva,Medium,2004,30-34,430,350,780
840,Oliva,Medium,2004,35-39,410,380,790
840,Oliva,Medium,2004,40-44,410,370,780
840,Oliva,Medium,2004,45-49,340,270,610
840,Oliva,Medium,2004,50-54,290,270,560
840,Oliva,Medium,2004,55-59,270,280,550
840,Oliva,Medium,2004,60-64,240,220,460
840,Oliva,Medium,2004,65-69,230,250,480
840,Oliva,Medium,2004,70-74,260,280,540
840,Oliva,Medium,2004,75-79,140,210,350
